phrase,thing,t_s,t_e,place,p_s,p_e,rating
sardines in oliveoil Milos Gyros And Chicken was bomb,sardines in oliveoil,0,21,Milos Gyros And Chicken,21,45,was bomb
Huddle House laitues demiglace sucked,laitues demiglace,13,31,Huddle House,0,13,sucked
the nasiboiled rice at Senor Pan Inc is sucked,nasiboiled rice,4,20,Senor Pan Inc,23,37,sucked
my filet de turbot duglere fillet of turbot at Potbelly Sandwich Works Llc was not that good,filet de turbot duglere  fillet of turbot,-1,41,Potbelly Sandwich Works Llc,47,75,not that good
my supreme of pampano with almonds at Andys Frozen Custard was decent,supreme of pampano with almonds,3,35,Andys Frozen Custard,38,59,decent
chateau grillet calvet Thunderbird Catering delicious,chateau grillet calvet ,0,24,Thunderbird Catering,23,44,delicious
El Supermercado Martinez sorbet abricotine decent,sorbet abricotine,25,43,El Supermercado Martinez,0,25,decent
Franks Pizzeria's fegato doca al torcione con insalatina di sedani e tartufo nero is tasty,fegato doca al torcione con insalatina di sedani e tartufo nero,18,82,Franks Pizzeria,0,16,tasty
the crepe glacee aux fruits rouges I had at Swissport Usa was acceptable,crepe glacee aux fruits rouges,4,35,Swissport Usa,44,58,acceptable
tasty chin schwalbennestersuppe Parkside Gyros,chin schwalbennestersuppe,6,32,Parkside Gyros,32,47,tasty
andouille de bretagne South Deering Food Mart was bomb,andouille de bretagne,0,22,South Deering Food Mart,22,46,was bomb
I thought the vanilla pistachio ice cream at Waffles was okay,vanilla  pistachio ice cream,-1,28,Waffles,45,53,okay
I thought the rumpsteak mit champignons im nestchen und meerrettich at Little Clown Pizza Restaurant was could have been better,rumpsteak mit champignons im nestchen und meerrettich,14,68,Little Clown Pizza  Restaurant,-1,30,could have been better
Cabana Restaurant Sports Bar the famous paradise spring water of boonton good,the famous paradise spring water of boonton,29,73,Cabana Restaurant  Sports Bar,-1,29,good
the prime rib of beef au jus with bone I had at Fernandos Restaurant was terrible,prime rib of beef au jus with bone,4,39,Fernandos Restaurant,48,69,terrible
delicious calves brains scrambled eggs Ishtar Market,calves brains  scrambled eggs,-1,29,Ishtar Market,39,53,delicious
the perdreau rote au cresson I had at Benchmark Bar Grill was was bomb,perdreau rote au cresson,4,29,Benchmark Bar  Grill,-1,20,was bomb
the goulaschsuppe mit brot I had at The Quarry Event Center was good,goulaschsuppe mit brot,4,27,The Quarry Event Center,36,60,good
my roast breast of milk fed veal with brown gravy at Ra ubs Chicago was not that bad,roast breast of milk fed veal with brown gravy,3,50,Ra ubs Chicago,53,68,not that bad
I thought the frischer hummercocktail mit toast und butter at La Guerrerense was delicious,frischer hummercocktail mit toast und butter,14,59,La Guerrerense,62,77,delicious
my no chablis white at Afc Sushi Dominicks was good,no  chablis  white,-1,18,Afc Sushi  Dominicks ,-1,21,good
I thought the poulet chateau neuf du pape junges milchmasthahnchen mit speckwurfeln at Fiesta Mexico was tasty,poulet chateau neuf du pape  junges milchmasthahnchen mit speckwurfeln,-1,70,Fiesta Mexico,87,101,tasty
eisberg salat Burger King tasty,eisberg salat,0,14,Burger King ,14,27,tasty
okay trio of tournedos with nuts and vegetable quenelles Curried,trio of tournedos with nuts and vegetable quenelles,5,57,Curried,57,65,okay
tasty four hundred Jamaica Jerk Spice Inc,four hundred ,6,20,Jamaica Jerk Spice Inc,19,42,tasty
massachusetts radishes Meme One Stop Food terrible,massachusetts radishes,0,23,Meme One Stop Food,23,42,terrible
La Brasa Roja Inc's assorted relish dish is sucked,assorted relish dish ,20,42,La Brasa Roja Inc,0,18,sucked
Lawrene Fish Market's extra cut prime rib of beef appetizer is acceptable,extra cut prime rib of beef  appetizer,-1,38,Lawrene Fish Market,0,20,acceptable
I thought the beadleston woerz cream ale at Pita O Grille was not that good,beadleston  woerz cream ale,-1,27,Pita O Grille,44,58,not that good
Northside Cafe Inc afternoon tea a great british tradition tea sucked,afternoon tea a great british tradition tea,19,63,Northside Cafe Inc,0,19,sucked
delicious feines orangensorbet mit filierten orangen Lacuna Entertainment,feines orangensorbet mit filierten orangen,10,53,Lacuna Entertainment,53,74,delicious
I thought the broiled sirloin steakgrilled tomatoes at Potbelly Sandwich Works Llc was sucked,broiled sirloin steakgrilled tomatoes,14,52,Potbelly Sandwich Works Llc,55,83,sucked
the american chablis at Eli Whitney Elementary School is acceptable,american chablis,4,21,Eli Whitney Elementary School,24,54,acceptable
Johns Pizzeria prime rib roast au jus tasty,prime rib roast au jus,15,38,Johns Pizzeria,0,15,tasty
george goulet brut champagne Indio Cocina Mexicana terrible,george goulet brut champagne,0,29,Indio Cocina Mexicana,29,51,terrible
bad honeycomb tripe fried or broiled Ashland Liquor And Food,honeycomb tripe fried or broiled,4,37,Ashland Liquor And Food,37,61,bad
good hungarian beef ragot with noodles A New Leaf,hungarian beef ragot with noodles,5,39,A New Leaf,39,50,good
the nurnberger rostbratwurstl auf sauerkraut mit kartoffelpuree at Bottled Blonde Chicago Llc is tasty,nurnberger rostbratwurstl auf sauerkraut mit kartoffelpuree,4,64,Bottled Blonde Chicago Llc,67,94,tasty
Billy Goat Tavern breakfast from to a m okay,breakfast from  to  a m,-1,23,Billy Goat Tavern,0,18,okay
tasty hallauer sssdruck Gold Medal Liquors,hallauer sssdruck,6,24,Gold Medal Liquors,24,43,tasty
Gyukaku Restaurant lieder ohne worte kalbsschnitzel tasty,lieder ohne worte  kalbsschnitzel,-1,33,Gyukaku Restaurant,0,19,tasty
the haig and haig pinch scotch whiskey at Giordanos Greektown is sucked,haig and haig pinch scotch whiskey,4,39,Giordanos Greektown,42,62,sucked
the schmelzbrotchen at Cafecito is tasty,schmelzbrotchen,4,20,Cafecito,23,32,tasty
my tuna stuffed tomato at Tower Market And Grill was okay,tuna stuffed tomato,3,23,Tower Market And Grill,26,49,okay
sardines and potato salad Irie Island was bomb,sardines and potato salad,0,26,Irie Island,26,38,was bomb
gubernatorial punch Sanchez Tacos delicious,gubernatorial punch,0,20,Sanchez Tacos,20,34,delicious
chocolate cheese cake Songbird Academy Montessori could have been better,chocolate cheese cake,0,22,Songbird Academy  Montessori,-1,28,could have been better
was bomb tranches de saumon grille au limes Bottles To Books Learning Center,tranches de saumon grille au limes,9,44,Bottles To Books Learning Center,44,77,was bomb
bad grenouilles sautes chatillonnaise Sonnets Academyriver North,grenouilles sautes chatillonnaise,4,38,Sonnets Academyriver North,38,65,bad
Subway's shrimps italian style is sucked,shrimps italian style,9,31,Subway,0,7,sucked
the whole baby lamb stuffed with squab pigeons and pistachios Latin American Motorcycle Association okay,the whole baby lamb stuffed with squab pigeons and pistachios,0,62,Latin American Motorcycle Association,62,100,okay
bad e j burkes Renaissance Chicago Ohare Hotel,e  j burkes,-1,11,Renaissance Chicago Ohare Hotel,15,47,bad
could have been better crepe of seafood americane eleven,crepe of seafood americane,23,50,eleven,50,57,could have been better
my sorrel vermicelli at China Cafe was was bomb,sorrel vermicelli,3,21,China Cafe,24,35,was bomb
Villanueva Grocery Store's anchovies a la lhuile is good,anchovies a la lhuile,27,49,Villanueva Grocery Store,0,25,good
I thought the fresh lobster stewed on toast at Noah Food Group Inc was could have been better,fresh lobster stewed on toast,14,44,Noah Food Group Inc,47,67,could have been better
the prime roast beef yorkshire pudding I had at Mr Dolphin Inc was okay,prime roast beef  yorkshire pudding,-1,35,Mr Dolphin Inc,48,63,okay
I thought the mashed turnips at Daniel S Wentworth Annex was tasty,mashed turnips ,14,30,Daniel S Wentworth Annex,32,57,tasty
Sawyer broiled filet of gray sole not that good,broiled filet of gray sole,7,34,Sawyer ,0,8,not that good
the soave white dry I had at Agees Pizzeria Grill was not that good,soave white dry,4,20,Agees Pizzeria  Grill,-1,21,not that good
Cans Bar And Canteen's mutton cutlets and tomato sauce is tasty,mutton cutlets and tomato sauce,23,55,Cans Bar And Canteen,0,21,tasty
decent frankfurterpolser med potetsalat J B Gyros,frankfurterpolser med potetsalat,7,40,J  B Gyros,-1,10,decent
the piece de boeuf braisee mode I had at East Of Edens was acceptable,piece de boeuf braisee mode,4,32,East Of Edens,41,55,acceptable
my norwegian codfish cakes at Carniceria La Villa was good,norwegian codfish cakes,3,27,Carniceria La Villa ,30,51,good
I thought the paar regensburger auf bayerisch kraut at Sabri Nihari Restaurant was not that bad, paar regensburger auf bayerisch kraut,13,52,Sabri Nihari Restaurant,55,79,not that bad
the tournedos a la bearnaise at Starbucks Coffee is not that bad,tournedos a la bearnaise,4,29,Starbucks Coffee ,32,50,not that bad
kalbsschnitzel holstein Protein Bar decent,kalbsschnitzel holstein,0,24,Protein Bar,24,36,decent
Uncle Johns Barbecue's loin pork chops is could have been better,loin pork chops  ,-1,17,Uncle Johns Barbecue,0,21,could have been better
the landschildpad in busjes I had at Apollo Theatre was not that bad,landschildpad in busjes,4,28,Apollo Theatre,37,52,not that bad
King Kong Chinese Chop Suey's crme chocolat is not that bad,crme chocolat,30,44,King Kong Chinese Chop Suey,0,28,not that bad
my salisbury steak au beurre with fried bermuda onions at Phos Thai was decent,salisbury steak au beurre with fried bermuda onions,3,55,Phos Thai,58,68,decent
the cauliflowers half I had at Albany Park Campus was terrible,cauliflowers half,4,22,Albany Park Campus,31,50,terrible
my heineken imp holland beer at Cermak Produce No was was bomb,heineken imp holland beer,3,29,Cermak Produce No,32,50,was bomb
Wasabi butterspatzle oder spaghetti could have been better,butterspatzle oder spaghetti,7,36,Wasabi,0,7,could have been better
Cafe Sushiwells's la pche flambe is not that good,la pche flambe,18,33,Cafe Sushiwells,0,16,not that good
I thought the empire special duck sliced boneless duck bedded in snow pea at Dirksen Elementary School was bad,empire special duck sliced boneless duck bedded in snow pea,14,74,Dirksen Elementary School,77,103,bad
the stewed duck a la flamande at Dinotto Ristorante is delicious,stewed duck a la flamande,4,30,Dinotto Ristorante,33,52,delicious
could have been better creme de menthe freezomint Thunderbird Catering Co,creme de menthe freezomint,23,50,Thunderbird Catering Co,50,74,could have been better
I thought the melon reine dor at State Discount Wholesale was bad,melon reine dor,14,30,State Discount Wholesale,33,58,bad
I thought the gebackener camembert mit johannisbeergelee und einer pfirsichhalfte darauf ein klacks sahne at Breakfast House Restaurant Inc was acceptable,gebackener camembert mit johannisbeergelee und einer pfirsichhalfte darauf ein klacks sahne,14,106,Breakfast House Restaurant Inc,109,140,acceptable
the half fried chicken with spanish sauce at Sanctuary is terrible,half fried chicken with spanish sauce,4,42,Sanctuary,45,55,terrible
my breast of chicken with lemon juice at Manolos Tamales was sucked,breast of chicken with lemon juice,3,38,Manolos Tamales ,41,58,sucked
my grosse salatplatte mit kleiner fleischbeilage at Sharks Fish Tony Steak was was bomb,grosse salatplatte mit kleiner fleischbeilage,3,49,Sharks Fish Tony Steak,52,75,was bomb
the half and half lager beer I had at K H Super Steak Hoagie was acceptable,half and half lager beer,4,29,K  H Super Steak Hoagie,-1,23,acceptable
my omelette mit schinken und grnem salat at Jersey Mikes Subs was delicious,omelette mit schinken und grnem salat  ,-1,39,Jersey Mikes Subs,44,62,delicious
weissbrdchen oder butterbrode mit sardellen Afc Sushi Jewel Osco could have been better,weissbrdchen oder butterbrode mit sardellen,0,44,Afc Sushi  Jewel Osco ,-1,22,could have been better
Grandbar deidesheimer auslese tasty,deidesheimer auslese,9,30,Grandbar,0,9,tasty
West End Tatas Pizza's chartreuse kartoffeln is okay,chartreuse kartoffeln,23,45,West End Tatas Pizza,0,21,okay
Ovie Bar And Grill blackbottom cream pie tasty,blackbottom cream pie,19,41,Ovie Bar And Grill,0,19,tasty
the cuvee william deutz I had at Potbelly Sandwich Works was delicious, cuvee william deutz,3,24,Potbelly Sandwich Works,33,57,delicious
the hausmstadtwurst warmspintbratkartoffelnsalat I had at Calharbor Restaurant was tasty,hausmstadtwurst warmspintbratkartoffelnsalat,4,49,Calharbor Restaurant,58,79,tasty
I thought the krug grand cuvee brut mv at Fornettomei On Grant was not that good,krug  grand cuvee brut mv,-1,25,Fornettomei On Grant,42,63,not that good
my beets saute in butter at Naf Naf Grill was could have been better,beets saute in butter,3,25,Naf Naf Grill,28,42,could have been better
the edam or mclarens canadian cheese I had at Colectivo Coffee Roasters Inc was acceptable,edam or mclarens canadian cheese,4,37,Colectivo Coffee Roasters Inc,46,76,acceptable
the crawfish veracruz style at India House is could have been better,crawfish veracruz style,4,28,India House,31,43,could have been better
the panini viennesi al roquefort I had at La Baguette North Inc was delicious,panini viennesi al roquefort,4,33,La Baguette North Inc,42,64,delicious
La Gondola Cucina Italiana les medaillons de lotte au coulis de poivrons doux okay,les medaillons de lotte au coulis de poivrons doux,27,78,La Gondola Cucina Italiana,0,27,okay
my stuffed macaroni at Aroy Thai Restaurant was delicious,stuffed macaroni,3,20,Aroy Thai Restaurant,23,44,delicious
the bombe neapolitain ice cream I had at L And L Market was decent,bombe neapolitain ice cream,4,32,L And L Market,41,56,decent
jalousie with almond cream Alabamas delicious,jalousie with almond cream,0,27,Alabamas,27,36,delicious
White Hen Pantry topimaki and mixed salad good,topimaki and mixed salad,17,42,White Hen Pantry,0,17,good
the new asparagus a la hollandaise at Mccormick Place is okay,new asparagus a la hollandaise,4,35,Mccormick Place,38,54,okay
I thought the chicken southernfried on sheffield at Subway was acceptable,chicken southernfried on sheffield,14,49,Subway,52,59,acceptable
delicious beef kidney saute with mushrooms Grocery Alvarez,beef kidney saute with mushrooms,10,43,Grocery Alvarez,43,59,delicious
my terrine of poulard at Freshii was good,terrine of poulard,3,22,Freshii,25,33,good
preisselbeeren Subway good,preisselbeeren ,0,16,Subway,15,22,good
my roquefort cheese salad dressing at Shop Rite Food Mart Inc was okay,roquefort cheese salad dressing,3,35,Shop Rite Food Mart Inc,38,62,okay
my deviled crab at Bascule Wine Bar American Bistro was was bomb,deviled crab ,3,17,Bascule Wine Bar  American Bistro,-1,33,was bomb
the egg rice I had at Bush Food Mart was could have been better,egg  rice,-1,9,Bush Food Mart,22,37,could have been better
Laramie Bakery Deli's small tenderloin steak lyonnaise potatoes is could have been better,small tenderloin steak lyonnaise potatoes,22,64,Laramie Bakery  Deli,-1,20,could have been better
